"user_id","n_sessions"
"0","11"
"1","7"
"2","8"
"3","9"
"4","10"
"5","10"
"6","11"
"7","7"
"8","7"
"9","11"
"10","9"
"11","10"
"12","8"
"13","8"
"14","9"
"15","7"
"16","12"
"17","12"
"18","11"
"19","8"
"20","9"
"21","8"
"22","8"
"23","8"
"24","12"
"25","8"
"26","7"
"27","6"
"28","9"
"29","9"
"30","9"
"31","13"
"32","9"
"33","7"
"34","8"
"35","8"
"36","8"
"37","10"
"38","8"
"39","8"
"40","7"
"41","9"
"42","9"
"43","12"
"44","9"
"45","11"
"46","9"
"47","9"
"48","10"
"49","9"
"50","9"
"51","8"
"52","11"
"53","11"
"54","11"
"55","12"
"56","9"
"57","13"
"58","10"
"59","10"
"60","10"
"61","12"
"62","11"
"63","8"
"64","10"
"65","10"
"66","13"
"67","10"
"68","9"
"69","9"
"70","10"
"71","9"
"72","8"
"73","7"
"74","8"
"75","6"
"76","8"
"77","7"
"78","7"
"79","9"
"80","9"
"81","3"
"82","7"
"83","7"
"84","13"
"85","11"
"86","10"
"87","10"
"88","13"
"89","11"
"90","9"
"91","11"
"92","11"
"93","10"
"94","10"
"95","8"
"96","10"
"97","9"
"98","8"
"99","10"
"100","14"
"101","8"
"102","9"
"103","9"
"104","9"
"105","11"
"106","11"
"107","10"
"108","10"
"109","10"
"110","8"
"111","11"
"112","9"
"113","8"
"114","8"
"115","9"
"116","7"
"117","8"
"118","7"
"119","8"
"120","11"
"121","7"
"122","11"
"123","9"
"124","10"
"125","12"
"126","12"
"127","9"
"128","8"
"129","7"
"130","12"
"131","11"
"132","11"
"133","9"
"134","12"
"135","9"
"136","10"
"137","9"
"138","9"
"139","9"
"140","12"
"141","14"
"142","9"
"143","9"
"144","11"
"145","10"
"146","11"
"147","6"
"148","9"
"149","8"
"150","10"
"151","9"
"152","8"
"153","11"
"154","9"
"155","6"
"156","14"
"157","9"
"158","8"
"159","9"
"160","7"
"161","10"
"162","9"
"163","12"
"164","10"
"165","10"
"166","10"
"167","7"
"168","12"
"169","8"
"170","8"
"171","7"
"172","11"
"173","10"
"174","7"
"175","10"
"176","4"
"177","7"
"178","10"
"179","14"
"180","8"
"181","6"
"182","8"
"183","10"
"184","10"
"185","10"
"186","9"
"187","10"
"188","12"
"189","7"
"190","9"
"191","9"
"192","8"
"193","10"
"194","10"
"195","10"
"196","9"
"197","12"
"198","8"
"199","11"
"200","7"
"201","9"
"202","9"
"203","10"
"204","9"
"205","12"
"206","10"
"207","9"
"208","12"
"209","9"
"210","12"
"211","7"
"212","8"
"213","8"
"214","8"
"215","11"
"216","8"
"217","10"
"218","9"
"219","10"
"220","10"
"221","9"
"222","9"
"223","9"
"224","8"
"225","8"
"226","10"
"227","9"
"228","10"
"229","11"
"230","12"
"231","8"
"232","9"
"233","10"
"234","7"
"235","14"
"236","9"
"237","10"
"238","11"
"239","7"
"240","7"
"241","6"
"242","6"
"243","7"
"244","1"
"245","9"
"246","10"
"247","9"
"248","11"
"249","9"
"250","7"
"251","9"
"252","10"
"253","7"
"254","11"
"255","6"
"256","10"
"257","10"
"258","12"
"259","8"
"260","8"
"261","9"
"262","9"
"263","8"
"264","12"
"265","6"
"266","9"
"267","7"
"268","11"
"269","10"
"270","12"
"271","13"
"272","7"
"273","13"
"274","10"
"275","11"
"276","8"
"277","11"
"278","9"
"279","8"
"280","8"
"281","8"
"282","9"
"283","10"
"284","12"
"285","10"
"286","8"
"287","11"
"288","10"
"289","12"
"290","12"
"291","7"
"292","9"
"293","8"
"294","11"
"295","11"
"296","10"
"297","12"
"298","9"
"299","9"
"300","8"
"301","11"
"302","8"
"303","14"
"304","7"
"305","11"
"306","11"
"307","9"
"308","8"
"309","9"
"310","7"
"311","6"
"312","10"
"313","10"
"314","10"
"315","10"
"316","9"
"317","8"
"318","8"
"319","12"
"320","12"
"321","9"
"322","9"
"323","3"
"324","8"
"325","8"
"326","11"
"327","11"
"328","9"
"329","8"
"330","8"
"331","9"
"332","13"
"333","11"
"334","10"
"335","10"
"336","7"
"337","9"
"338","13"
"339","10"
"340","9"
"341","7"
"342","8"
"343","11"
"344","8"
"345","8"
"346","10"
"347","10"
"348","10"
"349","6"
"350","10"
"351","11"
"352","9"
"353","11"
"354","9"
"355","11"
"356","11"
"357","12"
"358","8"
"359","12"
"360","7"
"361","8"
"362","10"
"363","10"
"364","9"
"365","8"
"366","11"
"367","8"
"368","12"
"369","9"
"370","9"
"371","10"
"372","8"
"373","9"
"374","11"
"375","8"
"376","8"
"377","8"
"378","8"
"379","6"
"380","8"
"381","8"
"382","9"
"383","10"
"384","10"
"385","8"
"386","7"
"387","8"
"388","7"
"389","10"
"390","10"
"391","9"
"392","3"
"393","12"
"394","13"
"395","8"
"396","11"
"397","10"
"398","9"
"399","9"
"400","8"
"401","10"
"402","9"
"403","5"
"404","12"
"405","4"
"406","10"
"407","8"
"408","9"
"409","7"
"410","10"
"411","13"
"412","11"
"413","9"
"414","8"
"415","9"
"416","11"
"417","11"
"418","8"
"419","10"
"420","8"
"421","10"
"422","11"
"423","9"
"424","10"
"425","7"
"426","15"
"427","8"
"428","10"
"429","9"
"430","10"
"431","9"
"432","10"
"433","9"
"434","12"
"435","8"
"436","13"
"437","10"
"438","10"
"439","10"
"440","9"
"441","8"
"442","8"
"443","6"
"444","10"
"445","9"
"446","11"
"447","14"
"448","9"
"449","13"
"450","9"
"451","11"
"452","9"
"453","10"
"454","11"
"455","11"
"456","8"
"457","8"
"458","10"
"459","10"
"460","13"
"461","14"
"462","9"
"463","11"
"464","9"
"465","7"
"466","10"
"467","11"
"468","10"
"469","10"
"470","9"
"471","11"
"472","10"
"473","9"
"474","10"
"475","8"
"476","10"
"477","10"
"478","10"
"479","7"
"480","12"
"481","12"
"482","11"
"483","10"
"484","11"
"485","8"
"486","10"
"487","9"
"488","6"
"489","10"
"490","11"
"491","7"
"492","9"
"493","6"
"494","10"
"495","9"
"496","10"
"497","8"
"498","11"
"499","3"
"500","7"
"501","8"
"502","9"
"503","8"
"504","10"
"505","10"
"506","10"
"507","7"
"508","9"
"509","12"
"510","13"
"511","7"
"512","7"
"513","11"
"514","7"
"515","10"
"516","9"
"517","11"
"518","9"
"519","11"
"520","8"
"521","10"
"522","7"
"523","10"
"524","12"
"525","8"
"526","9"
"527","10"
"528","10"
"529","8"
"530","7"
"531","9"
"532","12"
"533","12"
"534","10"
"535","11"
"536","7"
"537","8"
"538","12"
"539","10"
"540","11"
"541","13"
"542","10"
"543","8"
"544","9"
"545","10"
"546","13"
"547","10"
"548","11"
"549","7"
"550","8"
"551","11"
"552","6"
"553","10"
"554","8"
"555","9"
"556","10"
"557","10"
"558","12"
"559","7"
"560","8"
"561","8"
"562","8"
"563","14"
"564","13"
"565","8"
"566","10"
"567","12"
"568","9"
"569","7"
"570","11"
"571","10"
"572","11"
"573","10"
"574","8"
"575","8"
"576","11"
"577","12"
"578","9"
"579","7"
"580","10"
"581","13"
"582","12"
"583","12"
"584","9"
"585","9"
"586","13"
"587","7"
"588","7"
"589","10"
"590","10"
"591","9"
"592","8"
"593","12"
"594","8"
"595","10"
"596","9"
"597","8"
"598","8"
"599","10"
"600","10"
"601","11"
"602","9"
"603","11"
"604","13"
"605","12"
"606","10"
"607","12"
"608","9"
"609","9"
"610","10"
"611","12"
"612","11"
"613","8"
"614","11"
"615","9"
"616","11"
"617","13"
"618","7"
"619","14"
"620","11"
"621","8"
"622","11"
"623","10"
"624","8"
"625","9"
"626","8"
"627","10"
"628","9"
"629","6"
"630","10"
"631","13"
"632","9"
"633","8"
"634","12"
"635","11"
"636","9"
"637","9"
"638","12"
"639","10"
"640","8"
"641","10"
"642","9"
"643","11"
"644","6"
"645","10"
"646","7"
"647","7"
"648","7"
"649","7"
"650","9"
"651","9"
"652","11"
"653","9"
"654","9"
"655","7"
"656","8"
"657","8"
"658","11"
"659","12"
"660","13"
"661","8"
"662","10"
"663","9"
"664","9"
"665","11"
"666","11"
"667","10"
"668","9"
"669","10"
"670","8"
"671","13"
"672","9"
"673","13"
"674","9"
"675","9"
"676","11"
"677","9"
"678","9"
"679","8"
"680","9"
"681","9"
"682","12"
"683","11"
"684","10"
"685","6"
"686","10"
"687","8"
"688","8"
"689","11"
"690","8"
"691","10"
"692","8"
"693","8"
"694","9"
"695","9"
"696","7"
"697","9"
"698","10"
"699","9"
"700","8"
"701","10"
"702","8"
"703","8"
"704","7"
"705","9"
"706","11"
"707","7"
"708","11"
"709","14"
"710","6"
"711","8"
"712","8"
"713","14"
"714","9"
"715","6"
"716","9"
"717","9"
"718","11"
"719","9"
"720","12"
"721","8"
"722","8"
"723","11"
"724","12"
"725","11"
"726","8"
"727","10"
"728","10"
"729","10"
"730","8"
"731","11"
"732","7"
"733","10"
"734","10"
"735","8"
"736","11"
"737","8"
"738","9"
"739","9"
"740","14"
"741","8"
"742","8"
"743","8"
"744","7"
"745","15"
"746","10"
"747","7"
"748","8"
"749","10"
"750","8"
"751","9"
"752","2"
"753","9"
"754","9"
"755","8"
"756","11"
"757","9"
"758","11"
"759","13"
"760","7"
"761","8"
"762","12"
"763","8"
"764","11"
"765","12"
"766","9"
"767","10"
"768","10"
"769","10"
"770","11"
"771","12"
"772","9"
"773","9"
"774","7"
"775","7"
"776","8"
"777","12"
"778","11"
"779","10"
"780","12"
"781","9"
"782","11"
"783","9"
"784","9"
"785","11"
"786","7"
"787","9"
"788","8"
"789","9"
"790","12"
"791","6"
"792","7"
"793","11"
"794","8"
"795","10"
"796","8"
"797","9"
"798","12"
"799","8"
"800","7"
"801","8"
"802","9"
"803","8"
"804","9"
"805","8"
"806","9"
"807","11"
"808","8"
"809","7"
"810","11"
"811","10"
"812","10"
"813","11"
"814","12"
"815","10"
"816","8"
"817","9"
"818","10"
"819","11"
"820","9"
"821","9"
"822","9"
"823","9"
"824","8"
"825","11"
"826","10"
"827","11"
"828","8"
"829","11"
"830","11"
"831","10"
"832","8"
"833","9"
"834","9"
"835","11"
"836","12"
"837","10"
"838","9"
"839","9"
"840","8"
"841","8"
"842","10"
"843","5"
"844","12"
"845","12"
"846","7"
"847","11"
"848","10"
"849","10"
"850","9"
"851","10"
"852","7"
"853","11"
"854","12"
"855","7"
"856","9"
"857","10"
