session_duration,base_fare_usd,age,married,has_children,hotel_booked,hotel_discount,p_treat,p_control,uplift,uplift_segment,p_book,expected_value,decision,user_id
0.33,0.0,33,1,0,0,0,0.0,0.0,-0.0,Lost Cause,0.01,-15.09,Avoid (Do Not Disturb),337227
2.02,0.0,32,0,0,0,0,0.22,0.15,0.07,Sure Thing,0.15,-8.39,Low Priority,372970
2.95,983.25,31,0,1,1,0,0.89,0.93,-0.04,Do Not Disturb,0.92,-19.12,No Discount (Sure Thing),389759
2.75,549.65,41,0,0,1,1,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.45,No Discount (Sure Thing),437069
2.52,0.0,38,1,0,0,0,0.23,0.16,0.07,Sure Thing,0.18,-7.89,Low Priority,442833
0.75,0.0,20,0,0,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.4,Low Priority,443305
0.7,0.0,35,0,0,0,1,0.0,0.01,-0.0,Lost Cause,0.01,-15.1,Avoid (Do Not Disturb),458919
1.35,0.0,46,1,1,0,0,0.21,0.12,0.09,Persuadable,0.14,-5.82,Low Priority,471649
3.4,679.25,39,1,0,1,0,0.91,0.93,-0.01,Do Not Disturb,0.93,-16.18,No Discount (Sure Thing),471687
0.63,0.0,47,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,-14.42,Low Priority,480877
3.0,0.0,44,1,1,0,0,0.23,0.15,0.07,Sure Thing,0.17,-7.7,Low Priority,483483
6.22,359.83,30,0,0,1,0,0.91,0.92,-0.01,Do Not Disturb,0.92,-16.22,No Discount (Sure Thing),485658
1.58,0.0,48,1,0,0,0,0.24,0.13,0.12,Persuadable,0.14,-3.37,Low Priority,488672
16.9,0.0,56,1,1,1,0,0.46,0.37,0.09,Persuadable,0.44,-5.54,Low Priority,488870
2.1,54.16,43,1,0,1,1,0.89,0.9,-0.01,Do Not Disturb,0.89,-16.27,No Discount (Sure Thing),495029
0.28,0.0,48,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,-14.38,Low Priority,499979
0.83,0.0,33,1,1,0,0,0.01,0.01,0.0,Sure Thing,0.01,-14.53,Low Priority,501830
7.92,0.0,45,1,0,0,1,0.25,0.15,0.1,Persuadable,0.17,-4.77,Low Priority,502799
0.88,0.0,29,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,-14.54,Low Priority,512078
1.15,0.0,47,1,1,1,0,0.1,0.04,0.05,Sure Thing,0.05,-9.66,Low Priority,504786
0.52,0.0,43,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.9,Low Priority,512147
1.02,0.0,16,0,1,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.48,Avoid (Do Not Disturb),512397
3.02,0.0,33,0,0,0,0,0.25,0.16,0.09,Persuadable,0.17,-5.86,Low Priority,512628
3.7,401.05,29,1,1,0,0,0.91,0.92,-0.0,Lost Cause,0.92,-15.36,No Discount (Sure Thing),512704
0.65,0.0,39,1,0,0,0,0.01,0.0,0.0,Sure Thing,0.01,-14.53,Low Priority,513026
4.78,588.8,35,1,1,1,0,0.91,0.93,-0.02,Do Not Disturb,0.92,-16.88,No Discount (Sure Thing),513237
0.57,0.0,29,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,-14.54,Low Priority,513495
0.37,0.0,38,1,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.72,Low Priority,513953
0.77,0.0,31,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.92,Low Priority,514261
2.22,404.08,50,1,0,1,0,0.89,0.92,-0.03,Do Not Disturb,0.92,-17.92,No Discount (Sure Thing),514675
1.13,0.0,31,1,0,0,0,0.07,0.04,0.04,Sure Thing,0.03,-11.26,Low Priority,516001
0.27,0.0,39,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.8,Low Priority,516296
3.22,107.52,43,0,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.38,No Discount (Sure Thing),518092
0.75,0.0,51,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.96,Low Priority,518756
