session_duration,age,married,has_children,hotel_booked,hotel_discount,p_treat,p_control,uplift,uplift_segment,user_id
0.33,33,1,0,0,0,0.01,0.0,0.01,Sure Thing,337227
2.02,32,0,0,0,0,0.38,0.49,-0.11,Do Not Disturb,372970
2.95,31,0,1,1,0,0.67,0.67,0.01,Sure Thing,389759
2.75,41,0,0,1,1,0.71,0.72,-0.01,Sure Thing,437069
2.52,38,1,0,0,0,0.69,0.71,-0.02,Do Not Disturb,442833
0.75,20,0,0,0,0,0.01,0.0,0.01,Sure Thing,443305
0.7,35,0,0,0,1,0.01,0.01,0.0,Sure Thing,458919
1.35,46,1,1,0,0,0.18,0.11,0.07,Persuadable,471649
3.4,39,1,0,1,0,0.68,0.69,-0.01,Sure Thing,471687
0.63,47,1,0,0,0,0.01,0.01,0.0,Sure Thing,480877
3.0,44,1,1,0,0,0.67,0.68,-0.01,Sure Thing,483483
6.22,30,0,0,1,0,0.68,0.61,0.07,Persuadable,485658
1.58,48,1,0,0,0,0.22,0.12,0.1,Persuadable,488672
16.9,56,1,1,1,0,0.89,0.57,0.32,Persuadable,488870
2.1,43,1,0,1,1,0.62,0.56,0.06,Persuadable,495029
0.28,48,1,0,0,0,0.01,0.01,0.01,Sure Thing,499979
0.83,33,1,1,0,0,0.02,0.0,0.01,Sure Thing,501830
7.92,45,1,0,0,1,0.67,0.65,0.02,Sure Thing,502799
0.88,29,0,0,0,0,0.01,0.0,0.01,Sure Thing,512078
1.15,47,1,1,1,0,0.09,0.04,0.05,Persuadable,504786
0.52,43,0,0,0,0,0.01,0.01,0.0,Sure Thing,512147
1.02,16,0,1,0,0,0.01,0.01,0.01,Sure Thing,512397
3.02,33,0,0,0,0,0.7,0.68,0.01,Sure Thing,512628
3.7,29,1,1,0,0,0.65,0.63,0.02,Sure Thing,512704
0.65,39,1,0,0,0,0.01,0.01,0.01,Sure Thing,513026
4.78,35,1,1,1,0,0.65,0.6,0.04,Sure Thing,513237
0.57,29,0,0,0,0,0.01,0.0,0.01,Sure Thing,513495
0.37,38,1,0,0,0,0.01,0.01,0.0,Sure Thing,513953
0.77,31,0,0,0,0,0.01,0.0,0.01,Sure Thing,514261
2.22,50,1,0,1,0,0.63,0.69,-0.06,Do Not Disturb,514675
1.13,31,1,0,0,0,0.07,0.04,0.03,Sure Thing,516001
0.27,39,0,0,0,0,0.01,0.01,0.0,Sure Thing,516296
3.22,43,0,0,1,0,0.71,0.72,-0.01,Sure Thing,518092
0.75,51,0,0,0,0,0.01,0.01,0.0,Sure Thing,518756
0.72,43,0,0,0,0,0.01,0.01,0.0,Sure Thing,519532
2.27,46,1,0,1,1,0.66,0.7,-0.04,Do Not Disturb,519896
0.75,20,0,1,0,0,0.02,0.0,0.01,Sure Thing,519982
4.15,46,1,1,1,0,0.65,0.65,0.0,Sure Thing,520152
2.97,48,0,0,1,0,0.71,0.72,-0.01,Sure Thing,520193
0.47,34,1,0,0,0,0.01,0.0,0.01,Sure Thing,520440
3.03,28,0,0,0,0,0.69,0.68,0.01,Sure Thing,520762
0.23,69,0,0,0,0,0.01,0.0,0.01,Sure Thing,520780
0.37,37,0,0,0,1,0.01,0.01,0.0,Sure Thing,520902
3.1,43,0,0,1,0,0.71,0.72,-0.01,Sure Thing,521720
1.13,43,1,1,0,0,0.09,0.02,0.06,Persuadable,521865
3.13,52,1,1,0,0,0.67,0.68,-0.01,Sure Thing,522809
0.88,71,1,0,0,0,0.02,0.0,0.02,Sure Thing,524057
0.37,45,1,0,0,0,0.01,0.01,0.0,Sure Thing,524728
0.63,38,0,0,0,0,0.01,0.01,0.01,Sure Thing,526297
2.43,36,0,0,1,0,0.7,0.72,-0.02,Do Not Disturb,526855
2.07,42,0,0,1,1,0.62,0.55,0.07,Persuadable,527452
3.25,30,0,1,0,0,0.67,0.66,0.01,Sure Thing,527470
