session_duration,age,married,has_children,hotel_booked,hotel_discount,p_treat,p_control,uplift,uplift_segment,p_book,decision,user_id
0.33,33,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,337227
2.02,32,0,0,0,0,0.38,0.49,-0.11,Do Not Disturb,0.51,Avoid (Do Not Disturb),372970
2.95,31,0,1,1,0,0.67,0.67,0.01,Sure Thing,0.64,No Action,389759
2.75,41,0,0,1,1,0.71,0.72,-0.01,Sure Thing,0.71,No Discount (Sure Thing),437069
2.52,38,1,0,0,0,0.69,0.71,-0.02,Do Not Disturb,0.7,No Discount (Sure Thing),442833
0.75,20,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,443305
0.7,35,0,0,0,1,0.01,0.01,0.0,Sure Thing,0.01,No Action,458919
1.35,46,1,1,0,0,0.18,0.11,0.07,Persuadable,0.13,Give Discount,471649
3.4,39,1,0,1,0,0.68,0.69,-0.01,Sure Thing,0.7,No Discount (Sure Thing),471687
0.63,47,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,480877
3.0,44,1,1,0,0,0.67,0.68,-0.01,Sure Thing,0.67,Avoid (Do Not Disturb),483483
6.22,30,0,0,1,0,0.68,0.61,0.07,Persuadable,0.66,Give Discount,485658
1.58,48,1,0,0,0,0.22,0.12,0.1,Persuadable,0.13,Give Discount,488672
16.9,56,1,1,1,0,0.89,0.57,0.32,Persuadable,0.72,No Discount (Sure Thing),488870
2.1,43,1,0,1,1,0.62,0.56,0.06,Persuadable,0.58,Give Discount,495029
0.28,48,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.0,No Action,499979
0.83,33,1,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,501830
7.92,45,1,0,0,1,0.67,0.65,0.02,Sure Thing,0.69,No Action,502799
0.88,29,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,512078
1.15,47,1,1,1,0,0.09,0.04,0.05,Persuadable,0.05,Give Discount,504786
0.52,43,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,512147
1.02,16,0,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,No Action,512397
3.02,33,0,0,0,0,0.7,0.68,0.01,Sure Thing,0.67,No Action,512628
3.7,29,1,1,0,0,0.65,0.63,0.02,Sure Thing,0.64,No Action,512704
0.65,39,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.0,No Action,513026
4.78,35,1,1,1,0,0.65,0.6,0.04,Sure Thing,0.65,No Action,513237
0.57,29,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,513495
0.37,38,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,513953
0.77,31,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,514261
2.22,50,1,0,1,0,0.63,0.69,-0.06,Do Not Disturb,0.69,Avoid (Do Not Disturb),514675
1.13,31,1,0,0,0,0.07,0.04,0.03,Sure Thing,0.04,No Action,516001
0.27,39,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,516296
3.22,43,0,0,1,0,0.71,0.72,-0.01,Sure Thing,0.71,No Discount (Sure Thing),518092
0.75,51,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,518756
0.72,43,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,519532
2.27,46,1,0,1,1,0.66,0.7,-0.04,Do Not Disturb,0.7,Avoid (Do Not Disturb),519896
0.75,20,0,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,519982
4.15,46,1,1,1,0,0.65,0.65,0.0,Sure Thing,0.67,No Action,520152
2.97,48,0,0,1,0,0.71,0.72,-0.01,Sure Thing,0.71,No Discount (Sure Thing),520193
0.47,34,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,520440
3.03,28,0,0,0,0,0.69,0.68,0.01,Sure Thing,0.67,No Action,520762
0.23,69,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,520780
0.37,37,0,0,0,1,0.01,0.01,0.0,Sure Thing,0.01,No Action,520902
3.1,43,0,0,1,0,0.71,0.72,-0.01,Sure Thing,0.71,No Discount (Sure Thing),521720
1.13,43,1,1,0,0,0.09,0.02,0.06,Persuadable,0.04,Give Discount,521865
3.13,52,1,1,0,0,0.67,0.68,-0.01,Sure Thing,0.67,Avoid (Do Not Disturb),522809
0.88,71,1,0,0,0,0.02,0.0,0.02,Sure Thing,0.01,No Action,524057
0.37,45,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,524728
0.63,38,0,0,0,0,0.01,0.01,0.01,Sure Thing,0.01,No Action,526297
2.43,36,0,0,1,0,0.7,0.72,-0.02,Do Not Disturb,0.71,No Discount (Sure Thing),526855
2.07,42,0,0,1,1,0.62,0.55,0.07,Persuadable,0.57,Give Discount,527452
3.25,30,0,1,0,0,0.67,0.66,0.01,Sure Thing,0.64,No Action,527470
2.25,28,0,0,0,0,0.65,0.66,-0.02,Sure Thing,0.66,Avoid (Do Not Disturb),527690
1.12,46,1,0,0,0,0.08,0.03,0.05,Sure Thing,0.04,No Action,528580
0.63,45,0,1,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,530240
0.77,34,0,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,530298
0.13,58,1,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,530673
1.9,41,0,1,1,0,0.34,0.2,0.14,Persuadable,0.22,Give Discount,532835
1.45,49,0,0,0,0,0.19,0.11,0.08,Persuadable,0.13,Give Discount,533117
1.37,68,1,0,0,0,0.14,0.13,0.01,Sure Thing,0.13,No Action,533187
0.27,39,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,533490
3.7,35,0,0,1,0,0.71,0.69,0.01,Sure Thing,0.71,No Discount (Sure Thing),534747
0.87,36,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,535063
1.03,27,0,0,0,0,0.02,0.01,0.01,Sure Thing,0.01,No Action,535459
4.1,50,0,0,0,0,0.67,0.68,-0.01,Sure Thing,0.7,No Discount (Sure Thing),536604
1.47,49,1,1,0,0,0.21,0.12,0.09,Persuadable,0.13,Give Discount,537038
1.47,48,0,1,0,0,0.24,0.11,0.12,Persuadable,0.13,Give Discount,538131
2.4,35,0,1,1,0,0.68,0.69,-0.0,Sure Thing,0.68,Avoid (Do Not Disturb),538350
0.88,21,0,1,0,0,0.01,0.0,0.0,Sure Thing,0.01,No Action,538463
0.62,50,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.0,No Action,538944
2.88,62,1,1,1,0,0.47,0.54,-0.07,Do Not Disturb,0.5,Avoid (Do Not Disturb),540029
3.25,38,1,0,1,0,0.69,0.71,-0.02,Do Not Disturb,0.7,No Discount (Sure Thing),540656
1.07,46,1,0,0,0,0.12,0.03,0.09,Persuadable,0.04,Give Discount,542065
1.93,34,1,1,1,0,0.29,0.32,-0.03,Do Not Disturb,0.34,Avoid (Do Not Disturb),542918
2.23,62,1,0,0,0,0.54,0.53,0.01,Sure Thing,0.5,No Action,543237
1.23,50,1,0,0,1,0.1,0.12,-0.02,Sure Thing,0.12,Avoid (Do Not Disturb),543497
1.73,48,1,0,0,0,0.24,0.12,0.11,Persuadable,0.13,Give Discount,544254
0.6,28,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,544818
1.0,37,0,1,0,0,0.01,0.01,-0.0,Sure Thing,0.01,Avoid (Do Not Disturb),544926
0.95,51,0,0,0,1,0.01,0.01,0.0,Sure Thing,0.0,No Action,545399
0.78,66,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,546937
4.83,42,1,1,1,1,0.65,0.61,0.05,Sure Thing,0.66,No Action,547150
1.12,25,0,1,0,0,0.07,0.03,0.04,Sure Thing,0.04,No Action,547938
0.42,33,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,548190
6.33,40,0,0,1,0,0.69,0.67,0.02,Sure Thing,0.7,No Discount (Sure Thing),548672
2.08,47,1,0,1,0,0.61,0.54,0.07,Persuadable,0.56,Give Discount,548988
2.08,42,1,1,1,0,0.57,0.53,0.03,Sure Thing,0.53,No Action,550200
0.37,45,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,551088
1.0,34,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,551488
2.83,25,0,0,1,0,0.61,0.61,0.01,Sure Thing,0.61,No Action,552649
0.27,29,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,552929
1.45,16,0,1,0,0,0.28,0.11,0.17,Persuadable,0.13,Give Discount,553743
1.23,26,0,0,0,0,0.12,0.12,-0.0,Sure Thing,0.11,Avoid (Do Not Disturb),555250
0.65,42,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,556824
1.67,74,0,0,0,0,0.34,0.11,0.23,Persuadable,0.14,Give Discount,557799
1.78,46,1,0,0,0,0.25,0.12,0.13,Persuadable,0.13,Give Discount,557957
0.27,48,1,1,0,1,0.02,0.0,0.01,Sure Thing,0.01,No Action,558251
