user_id,decision
101486,Avoid (Do Not Disturb)
101961,Low Priority
106907,No Discount (Sure Thing)
118043,Low Priority
125845,Avoid (Do Not Disturb)
133058,Low Priority
152583,Avoid (Do Not Disturb)
153982,Low Priority
160754,Avoid (Do Not Disturb)
167852,Low Priority
171470,Low Priority
174997,Low Priority
175032,Low Priority
182191,Give Discount
187212,Avoid (Do Not Disturb)
189676,Low Priority
190866,Avoid (Do Not Disturb)
195192,Low Priority
204943,Low Priority
204997,Low Priority
206011,Low Priority
216796,Low Priority
217114,Give Discount
217136,Low Priority
220725,Low Priority
224996,Low Priority
226367,Low Priority
228195,Low Priority
228872,Low Priority
229009,Give Discount
232647,Low Priority
249521,Low Priority
252835,Low Priority
258451,Give Discount
276512,Avoid (Do Not Disturb)
281952,Avoid (Do Not Disturb)
283325,Low Priority
290123,Avoid (Do Not Disturb)
297546,Low Priority
298253,Low Priority
299476,Low Priority
306165,Low Priority
306819,Give Discount
312488,Avoid (Do Not Disturb)
313724,Low Priority
316527,Low Priority
317688,Low Priority
322867,Low Priority
324191,Avoid (Do Not Disturb)
328590,Low Priority
330764,No Discount (Sure Thing)
330893,Avoid (Do Not Disturb)
331039,Low Priority
334787,Low Priority
337227,Avoid (Do Not Disturb)
338086,Avoid (Do Not Disturb)
340166,Low Priority
343928,Low Priority
347778,Low Priority
348817,Low Priority
349132,Avoid (Do Not Disturb)
350648,No Discount (Sure Thing)
353271,Low Priority
353694,Low Priority
354050,Avoid (Do Not Disturb)
354260,Avoid (Do Not Disturb)
354311,Avoid (Do Not Disturb)
354950,Avoid (Do Not Disturb)
356046,Low Priority
357737,Avoid (Do Not Disturb)
359072,Low Priority
359080,Avoid (Do Not Disturb)
359653,Low Priority
361459,Avoid (Do Not Disturb)
361759,Avoid (Do Not Disturb)
363535,Low Priority
371201,Avoid (Do Not Disturb)
372970,Avoid (Do Not Disturb)
373489,Low Priority
374331,Low Priority
374340,Low Priority
374341,Low Priority
375160,Avoid (Do Not Disturb)
375729,Low Priority
375751,Low Priority
376159,No Discount (Sure Thing)
377069,Low Priority
377411,Avoid (Do Not Disturb)
378565,Avoid (Do Not Disturb)
379543,Low Priority
380434,Low Priority
380436,Low Priority
380757,Low Priority
380949,Avoid (Do Not Disturb)
381259,Low Priority
381465,Low Priority
382181,Avoid (Do Not Disturb)
382384,Avoid (Do Not Disturb)
382533,Low Priority
386255,Low Priority
386469,Low Priority
386914,Low Priority
387282,Low Priority
387783,Avoid (Do Not Disturb)
388328,Avoid (Do Not Disturb)
388947,Avoid (Do Not Disturb)
389434,No Discount (Sure Thing)
389662,Low Priority
389759,Low Priority
390811,Low Priority
392453,Avoid (Do Not Disturb)
395202,Low Priority
395981,Low Priority
396552,Low Priority
399137,Low Priority
399218,Avoid (Do Not Disturb)
399799,Avoid (Do Not Disturb)
400582,Avoid (Do Not Disturb)
402332,Low Priority
402978,Low Priority
403881,Low Priority
404879,Avoid (Do Not Disturb)
405305,Avoid (Do Not Disturb)
406210,Low Priority
407118,Low Priority
407275,Avoid (Do Not Disturb)
407434,Low Priority
407642,Low Priority
408551,Avoid (Do Not Disturb)
409073,Low Priority
411179,Avoid (Do Not Disturb)
411701,Low Priority
413128,Low Priority
413340,Low Priority
413418,Low Priority
413658,Low Priority
414128,Avoid (Do Not Disturb)
415282,Low Priority
415381,Avoid (Do Not Disturb)
415581,Low Priority
416319,Avoid (Do Not Disturb)
416580,Low Priority
417679,Avoid (Do Not Disturb)
418329,Low Priority
418488,Avoid (Do Not Disturb)
418692,Avoid (Do Not Disturb)
420648,Low Priority
420669,Low Priority
421247,Low Priority
421515,Low Priority
421666,Low Priority
421700,Avoid (Do Not Disturb)
