session_duration,page_clicks,base_fare_usd,age,married,has_children,hotel_booked,hotel_discount,p_treat,p_control,uplift,uplift_segment,p_book,decision,expected_value,user_id
2.95,24,983.25,31,0,1,1,0,0.92,0.95,-0.03,Do Not Disturb,0.94,No Discount (Sure Thing),94.73,389759
2.75,22,549.65,41,0,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.98,437069
3.4,27,679.25,39,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.84,471687
6.22,50,359.83,30,0,0,1,0,0.92,0.94,-0.02,Do Not Disturb,0.94,No Discount (Sure Thing),94.1,485658
2.1,17,54.16,43,1,0,1,1,0.9,0.91,-0.01,Sure Thing,0.9,No Discount (Sure Thing),91.0,495029
3.7,31,401.05,29,1,1,0,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.61,512704
4.78,38,588.8,35,1,1,1,0,0.93,0.94,-0.01,Sure Thing,0.94,No Discount (Sure Thing),94.49,513237
2.22,18,404.08,50,1,0,1,0,0.89,0.93,-0.04,Do Not Disturb,0.93,No Discount (Sure Thing),93.42,514675
3.22,26,107.52,43,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.1,518092
2.27,18,328.79,46,1,0,1,1,0.9,0.94,-0.04,Do Not Disturb,0.93,No Discount (Sure Thing),93.88,519896
4.15,33,95.48,46,1,1,1,0,0.93,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),94.93,520152
2.97,24,508.96,48,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.98,520193
3.1,25,551.29,43,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.98,521720
2.43,19,492.47,36,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.95,526855
2.07,17,313.98,42,0,0,1,1,0.87,0.91,-0.04,Do Not Disturb,0.91,No Discount (Sure Thing),91.34,527452
2.25,18,417.36,28,0,0,0,0,0.89,0.93,-0.04,Do Not Disturb,0.93,No Discount (Sure Thing),93.03,527690
1.45,12,162.01,49,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,0.16,533117
3.7,30,400.36,35,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.92,534747
